Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,r1-hub-leaf1,Ethernet1,wan_router,r1-hub-wan1,Ethernet1/13,True
l3leaf,r1-hub-leaf1,Ethernet1.2,wan_router,r1-hub-wan1,Ethernet1/13.2,True
l3leaf,r1-hub-leaf1,Ethernet1.3,wan_router,r1-hub-wan1,Ethernet1/13.3,True
l3leaf,r1-hub-leaf1,Ethernet1.4,wan_router,r1-hub-wan1,Ethernet1/13.4,True
l3leaf,r1-hub-leaf1,Ethernet1.5,wan_router,r1-hub-wan1,Ethernet1/13.5,True
l3leaf,r1-hub-leaf1,Ethernet1.6,wan_router,r1-hub-wan1,Ethernet1/13.6,True
l3leaf,r1-hub-leaf1,Ethernet1.7,wan_router,r1-hub-wan1,Ethernet1/13.7,True
l3leaf,r1-hub-leaf1,Ethernet1.8,wan_router,r1-hub-wan1,Ethernet1/13.8,True
l3leaf,r1-hub-leaf1,Ethernet1.9,wan_router,r1-hub-wan1,Ethernet1/13.9,True
l3leaf,r1-hub-leaf1,Ethernet1.10,wan_router,r1-hub-wan1,Ethernet1/13.10,True
l3leaf,r1-hub-leaf1,Ethernet1.11,wan_router,r1-hub-wan1,Ethernet1/13.11,True
l3leaf,r1-hub-leaf1,Ethernet1.12,wan_router,r1-hub-wan1,Ethernet1/13.12,True
l3leaf,r1-hub-leaf1,Ethernet1.13,wan_router,r1-hub-wan1,Ethernet1/13.13,True
l3leaf,r1-hub-leaf1,Ethernet1.14,wan_router,r1-hub-wan1,Ethernet1/13.14,True
l3leaf,r1-hub-leaf1,Ethernet1.15,wan_router,r1-hub-wan1,Ethernet1/13.15,True
l3leaf,r1-hub-leaf1,Ethernet1.16,wan_router,r1-hub-wan1,Ethernet1/13.16,True
l3leaf,r1-hub-leaf1,Ethernet1.17,wan_router,r1-hub-wan1,Ethernet1/13.17,True
l3leaf,r1-hub-leaf1,Ethernet1.18,wan_router,r1-hub-wan1,Ethernet1/13.18,True
l3leaf,r1-hub-leaf1,Ethernet1.19,wan_router,r1-hub-wan1,Ethernet1/13.19,True
l3leaf,r1-hub-leaf1,Ethernet1.20,wan_router,r1-hub-wan1,Ethernet1/13.20,True
l3leaf,r1-hub-leaf1,Ethernet1.21,wan_router,r1-hub-wan1,Ethernet1/13.21,True
l3leaf,r1-hub-leaf1,Ethernet1.22,wan_router,r1-hub-wan1,Ethernet1/13.22,True
l3leaf,r1-hub-leaf1,Ethernet1.23,wan_router,r1-hub-wan1,Ethernet1/13.23,True
l3leaf,r1-hub-leaf1,Ethernet1.24,wan_router,r1-hub-wan1,Ethernet1/13.24,True
l3leaf,r1-hub-leaf1,Ethernet1.25,wan_router,r1-hub-wan1,Ethernet1/13.25,True
l3leaf,r1-hub-leaf1,Ethernet1.26,wan_router,r1-hub-wan1,Ethernet1/13.26,True
l3leaf,r1-hub-leaf1,Ethernet1.27,wan_router,r1-hub-wan1,Ethernet1/13.27,True
l3leaf,r1-hub-leaf1,Ethernet1.28,wan_router,r1-hub-wan1,Ethernet1/13.28,True
l3leaf,r1-hub-leaf1,Ethernet1.29,wan_router,r1-hub-wan1,Ethernet1/13.29,True
l3leaf,r1-hub-leaf1,Ethernet1.30,wan_router,r1-hub-wan1,Ethernet1/13.30,True
l3leaf,r1-hub-leaf1,Ethernet1.31,wan_router,r1-hub-wan1,Ethernet1/13.31,True
l3leaf,r1-hub-leaf1,Ethernet1.32,wan_router,r1-hub-wan1,Ethernet1/13.32,True
l3leaf,r1-hub-leaf1,Ethernet1.33,wan_router,r1-hub-wan1,Ethernet1/13.33,True
l3leaf,r1-hub-leaf1,Ethernet1.34,wan_router,r1-hub-wan1,Ethernet1/13.34,True
l3leaf,r1-hub-leaf1,Ethernet1.35,wan_router,r1-hub-wan1,Ethernet1/13.35,True
l3leaf,r1-hub-leaf1,Ethernet1.36,wan_router,r1-hub-wan1,Ethernet1/13.36,True
